                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0275,                0.58901,                 1.0747,                0.82702,                0.85659,                0.88666,                0.62431,                 1.0228,                0.60699,                 1.1194,              0.0015696,              0.0015696,              0.0015696
                     62,                  1.034,                 0.5881,                 1.0787,                0.83111,                0.86025,                  0.895,                0.64133,                 1.0015,                0.57577,                 1.1077,               0.001568,               0.001568,               0.001568
                     63,                 1.0394,                 0.5913,                 1.0725,                0.82767,                0.84533,                0.88487,                0.63046,                 1.0086,                0.59908,                 1.1031,              0.0015663,              0.0015663,              0.0015663
                     64,                 1.0285,                0.57941,                 1.0739,                0.83601,                0.84969,                0.89265,                0.63606,                 1.0183,                0.58807,                 1.1168,              0.0015647,              0.0015647,              0.0015647
                     65,                 1.0823,                0.61999,                 1.1033,                0.82793,                  0.848,                0.89485,                0.63237,                  1.024,                0.58424,                 1.1224,               0.001563,               0.001563,               0.001563
                     66,                 1.0658,                0.62655,                 1.0952,                0.83014,                0.84656,                0.89148,                0.63864,                 1.0087,                0.62402,                 1.1098,              0.0015614,              0.0015614,              0.0015614
                     67,                 1.0383,                0.58993,                 1.0727,                0.83785,                0.85021,                0.89157,                0.63614,                 1.0111,                0.57315,                 1.1043,              0.0015597,              0.0015597,              0.0015597
                     68,                 1.0155,                0.58399,                 1.0713,                0.82584,                0.84683,                0.89287,                0.64204,                 0.9904,                0.56649,                 1.1007,              0.0015581,              0.0015581,              0.0015581
                     69,                 1.0465,                0.64784,                 1.0738,                0.83205,                0.85044,                0.89315,                0.64123,                0.99914,                0.57702,                 1.1052,              0.0015564,              0.0015564,              0.0015564
                     70,                 1.0361,                0.62385,                 1.0894,                0.85118,                0.82809,                0.89153,                0.63483,                 1.0056,                0.57857,                 1.1105,              0.0015548,              0.0015548,              0.0015548
                     71,                 1.0338,                0.59817,                 1.0786,                0.84581,                0.86755,                0.90409,                0.64865,                0.99493,                0.55443,                 1.1009,              0.0015531,              0.0015531,              0.0015531
                     72,                 1.0102,                0.56168,                 1.0735,                0.84692,                0.88293,                0.90449,                 0.6508,                0.99234,                0.55055,                 1.1024,              0.0015515,              0.0015515,              0.0015515
                     73,                 1.0349,                 0.5841,                 1.0731,                0.84726,                0.83881,                0.89028,                0.63061,                 1.0107,                0.58744,                 1.1106,              0.0015498,              0.0015498,              0.0015498
                     74,                 1.0249,                0.57826,                 1.0541,                0.80781,                0.88721,                0.88805,                0.63209,                0.99545,                0.57803,                 1.1024,              0.0015482,              0.0015482,              0.0015482
                     75,                 1.0331,                0.57536,                 1.0822,                0.84304,                0.83471,                0.88773,                0.63948,                0.99829,                0.56916,                 1.1061,              0.0015465,              0.0015465,              0.0015465
