                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65248,                0.71045,                0.68134,                0.99378,                0.78443,                0.80796,                0.85784,                0.70514,                0.78309,                0.78937,                0.84034,                0.53948,                0.61906,                0.63633,                0.69109,                 1.0305,              0.0096733,              0.0096733,              0.0096733
                     36,                0.63973,                0.72114,                0.66785,                0.99477,                0.80706,                0.78961,                 0.8471,                0.69213,                0.79928,                0.77694,                0.82806,                0.52932,                0.63678,                0.69669,                0.72389,                 1.0558,              0.0096634,              0.0096634,              0.0096634
                     37,                 0.6396,                 0.7062,                0.66619,                0.97501,                0.76941,                0.83144,                0.86026,                0.71007,                0.75699,                 0.8184,                0.84309,                0.54562,                0.63292,                0.64012,                0.69301,                 1.0501,              0.0096535,              0.0096535,              0.0096535
                     38,                0.63755,                0.69561,                0.64849,                0.99112,                0.77521,                0.80113,                0.85183,                0.70092,                0.78403,                0.77708,                0.83697,                0.52972,                0.63316,                0.67803,                 0.6883,                 1.0597,              0.0096436,              0.0096436,              0.0096436
                     39,                0.64347,                0.69801,                0.64943,                0.98794,                0.77299,                0.79067,                0.83819,                0.69086,                0.76367,                 0.7818,                0.81883,                0.51961,                0.63168,                0.66336,                0.71127,                 1.0486,              0.0096337,              0.0096337,              0.0096337
                     40,                0.62699,                0.70469,                0.66375,                0.97251,                  0.798,                0.81871,                0.86336,                0.70703,                0.80174,                0.78342,                0.84487,                0.54128,                0.63406,                0.65374,                0.69195,                 1.0465,              0.0096238,              0.0096238,              0.0096238
                     41,                0.62808,                0.69727,                0.68546,                0.99102,                0.75439,                0.80326,                0.83394,                0.68135,                0.74912,                0.79652,                0.82384,                0.53302,                0.64959,                0.64509,                0.71752,                  1.077,              0.0096139,              0.0096139,              0.0096139
                     42,                0.62002,                0.71058,                0.66006,                0.98356,                0.79227,                0.80173,                0.86612,                0.71704,                0.76637,                0.80872,                0.84634,                0.54876,                0.62822,                0.64069,                0.67334,                  1.051,               0.009604,               0.009604,               0.009604
                     43,                0.61136,                0.69007,                0.64104,                0.97137,                0.80743,                0.80417,                0.86188,                0.71812,                0.80115,                0.78415,                0.84476,                0.54507,                0.61544,                0.64812,                0.66351,                 1.0332,              0.0095941,              0.0095941,              0.0095941
                     44,                 0.5996,                0.67407,                0.66032,                0.97516,                0.78554,                0.74838,                0.82566,                0.66415,                0.78189,                0.73577,                0.81383,                0.51827,                0.63785,                0.63948,                0.74775,                 1.0599,              0.0095842,              0.0095842,              0.0095842
                     45,                0.61959,                 0.6773,                0.65106,                0.98542,                0.76923,                0.81048,                0.83926,                 0.6849,                0.76485,                0.79717,                0.82164,                0.51847,                0.61946,                0.62848,                0.71586,                 1.0428,              0.0095743,              0.0095743,              0.0095743
                     46,                0.62316,                0.70486,                0.64315,                0.98302,                 0.7916,                0.77341,                  0.848,                0.70679,                 0.7852,                0.76457,                0.83472,                0.53232,                0.62189,                0.63917,                0.69003,                 1.0512,              0.0095644,              0.0095644,              0.0095644
                     47,                0.60709,                0.69105,                 0.6388,                 0.9733,                0.79089,                0.79064,                 0.8489,                0.70125,                0.78501,                0.78477,                0.83625,                0.53445,                   0.62,                0.62437,                0.67132,                 1.0554,              0.0095545,              0.0095545,              0.0095545
                     48,                0.58594,                0.65572,                0.62985,                0.96739,                0.79133,                 0.8041,                0.84916,                  0.696,                0.78662,                0.79541,                0.83677,                0.52296,                0.60461,                0.61564,                0.64782,                  1.051,              0.0095446,              0.0095446,              0.0095446
                     49,                0.61747,                0.67677,                0.61319,                0.98207,                0.81534,                0.80218,                0.86129,                0.70451,                0.79931,                0.78504,                0.84141,                0.54379,                0.61495,                0.61407,                0.65485,                 1.0582,              0.0095347,              0.0095347,              0.0095347
                     50,                0.60298,                0.67048,                 0.5988,                0.97079,                0.82378,                0.77278,                0.86078,                0.71588,                0.81906,                0.76369,                0.84375,                0.54844,                0.61477,                0.62682,                0.66979,                 1.0505,              0.0095248,              0.0095248,              0.0095248
                     51,                0.60057,                  0.695,                0.61894,                0.97459,                0.78612,                0.80174,                0.85311,                0.70705,                0.78275,                0.79531,                0.84055,                0.53717,                 0.6242,                0.64571,                0.65859,                 1.0566,              0.0095149,              0.0095149,              0.0095149
                     52,                0.59241,                 0.6809,                0.62017,                0.96688,                 0.7932,                0.78216,                0.84317,                0.69023,                0.78719,                0.77496,                0.83354,                0.52436,                0.64147,                  0.683,                0.74881,                 1.0708,               0.009505,               0.009505,               0.009505
                     53,                0.59247,                0.68382,                0.58329,                0.96518,                0.80848,                0.80061,                0.86305,                0.70723,                0.79989,                0.79151,                0.84376,                0.53915,                0.61407,                 0.6373,                 0.6568,                 1.0583,              0.0094951,              0.0094951,              0.0094951
                     54,                0.58591,                0.66607,                0.60846,                0.96882,                0.81209,                 0.8287,                0.87354,                0.72483,                0.80712,                0.82227,                0.86575,                0.56498,                0.61246,                0.62626,                0.62221,                 1.0516,              0.0094852,              0.0094852,              0.0094852
                     55,                0.58897,                0.65781,                0.57903,                0.97159,                0.75001,                0.85065,                0.84772,                0.70759,                0.75055,                0.83169,                0.83475,                0.53469,                0.60118,                0.63924,                0.67176,                 1.0472,              0.0094753,              0.0094753,              0.0094753
                     56,                0.57942,                0.69136,                0.56936,                0.96038,                0.82463,                0.80416,                0.87194,                0.72071,                 0.8183,                 0.7975,                0.85978,                0.55238,                0.60495,                0.62921,                0.63429,                 1.0542,              0.0094654,              0.0094654,              0.0094654
                     57,                0.58205,                0.65644,                0.58665,                0.95901,                0.81833,                0.79496,                0.86865,                0.72291,                0.81082,                0.78065,                0.84791,                0.53718,                0.58627,                0.63271,                0.66931,                 1.0315,              0.0094555,              0.0094555,              0.0094555
                     58,                0.58195,                0.65838,                0.57467,                0.96211,                0.79102,                0.84957,                0.87597,                0.72241,                 0.7891,                0.83738,                0.86297,                0.56899,                0.60012,                0.60535,                0.63101,                 1.0324,              0.0094456,              0.0094456,              0.0094456
                     59,                0.57606,                0.64052,                0.55993,                 0.9589,                0.76494,                0.85477,                0.87533,                0.73415,                0.80462,                0.79942,                0.86299,                0.56199,                0.58299,                 0.6373,                0.63274,                  1.023,              0.0094357,              0.0094357,              0.0094357
