                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    207,                0.42761,                0.53878,                0.35311,                0.88405,                0.79171,                0.84614,                0.88056,                0.76362,                0.84145,                0.78552,                0.86965,                0.59612,                0.52596,                0.59128,                0.60549,                 1.0207,              0.0079705,              0.0079705,              0.0079705
                    208,                0.43838,                0.55047,                0.36121,                0.88971,                0.85471,                0.80775,                0.87766,                0.76109,                0.85083,                0.80387,                0.86963,                0.60023,                0.52102,                0.59829,                 0.5917,                 1.0152,              0.0079606,              0.0079606,              0.0079606
                    209,                0.41846,                0.53822,                0.36004,                0.87918,                0.85756,                0.82878,                0.89219,                 0.7699,                0.85312,                0.82268,                0.88482,                0.60951,                0.52511,                0.60156,                0.55611,                 1.0129,              0.0079507,              0.0079507,              0.0079507
                    210,                0.42938,                0.53757,                0.37293,                0.88323,                0.86256,                0.81724,                0.88614,                0.76591,                0.82165,                0.84058,                0.87708,                0.61017,                0.52467,                0.59987,                0.55065,                 1.0283,              0.0079408,              0.0079408,              0.0079408
                    211,                0.42196,                0.55184,                0.34622,                0.88409,                0.83812,                0.82913,                 0.8769,                0.75984,                0.83731,                0.82714,                 0.8694,                0.60058,                0.51122,                0.61046,                0.58252,                 1.0139,              0.0079309,              0.0079309,              0.0079309
                    212,                0.43541,                0.54906,                0.35882,                0.88654,                0.82807,                0.84733,                0.87882,                0.76007,                0.81942,                0.84057,                0.86568,                 0.5994,                0.51021,                0.60694,                 0.5924,                 1.0156,               0.007921,               0.007921,               0.007921
                    213,                0.41346,                0.55788,                0.34501,                0.87683,                0.86253,                0.81636,                0.88348,                0.76761,                0.85779,                0.80564,                0.87572,                0.60755,                0.51305,                0.59763,                0.56059,                 1.0186,              0.0079111,              0.0079111,              0.0079111
                    214,                0.41945,                0.53041,                0.34565,                0.88512,                0.81515,                0.84883,                0.88662,                0.76865,                0.83638,                0.80723,                0.87619,                0.60664,                0.52133,                0.60073,                0.55701,                 1.0254,              0.0079012,              0.0079012,              0.0079012
                    215,                0.41033,                 0.5278,                0.35142,                0.87496,                0.82961,                0.83501,                0.88586,                0.77262,                0.82082,                0.83157,                 0.8795,                0.61078,                0.51555,                0.61073,                0.57632,                 1.0177,              0.0078913,              0.0078913,              0.0078913
                    216,                0.41466,                0.50753,                0.34494,                0.87338,                0.78842,                0.88162,                0.87936,                0.76695,                0.80743,                0.83969,                0.86993,                0.60359,                0.52806,                0.60396,                0.57683,                  1.029,              0.0078814,              0.0078814,              0.0078814
                    217,                0.41778,                0.55568,                0.35506,                0.88166,                0.82822,                0.81039,                0.86987,                0.76258,                0.82633,                0.79911,                0.85911,                0.59205,                0.52086,                0.59415,                0.59529,                 1.0136,              0.0078715,              0.0078715,              0.0078715
                    218,                0.42493,                0.53616,                0.35605,                 0.8792,                0.82067,                0.84667,                0.88462,                  0.767,                 0.8196,                0.83445,                0.87388,                0.60164,                0.51479,                0.59744,                0.58498,                 1.0024,              0.0078616,              0.0078616,              0.0078616
                    219,                0.40748,                0.51027,                0.36781,                0.87223,                0.82301,                 0.8416,                0.89309,                0.77521,                0.81577,                0.83384,                 0.8846,                  0.607,                0.51189,                0.59999,                0.55421,                0.99941,              0.0078517,              0.0078517,              0.0078517
